1.-1t	献祭的礼仪(1-7)
27.18	但如果在喜年以后献自己的田地，司祭应按至喜年尚余的数量给他估价，把估价减低。
27.19	如献田地的人再愿赎回，除司祭估定的价钱之外，还应加五分之一，田地仍归于他；
27.20	但若他不但没有把田地赎回，反而卖给别人，不能再赎回；
27.21	一到喜年，田地应退还时，应献于上主，当作禁田，归于司祭，成为他的产业。
27.22	若人将自己买来的田地，而非祖业，献于上主，
27.23	司祭就应估定这田地直到喜年所有的价值，那人应在当天支付你估定的价钱，这是归上主的圣物。
27.24	一到喜年，这田地应退给卖田的人，归于这块田地的原有人。
27.25	一切估价都应按圣所的「协刻耳」；一「协刻耳」等于二十「革辣」。 
	
27.26t	头胎牲畜
	
27.26	至于头胎牲畜，既是头胎，应属于上主，人不能再奉献；不论是牛是羊，已属于上主。
27.27	若是不洁牲畜的头胎，人应照估价赎回，再加五分之一；如不赎回，应照估价卖掉。 
	
27.28t	禁物
	
27.28	凡照禁物法献于上主之物，凡人所有的，不论是人，或是牲畜，或是一部份田产，便不可变卖，亦不可赎回；凡禁物都是属于上主的至圣之物。
27.29	凡照禁物法应处置的人，便不可赎回，应将他处死。 
	
27.30t	什一之物
	
27.30	凡土地的出产，或是田地的谷物，或是树木的果实，十分之一应归于上主，是献于上主的圣物。
27.31	人若愿意把应献的十分之一赎回一部份，除物价外，应另加五分之一。
27.32	凡牛群或羊群，由牧童杖下经过的每第十只，亦即全群十分之一，应献于上主；
27.33	不应追究是好是坏，亦不可将它更换；更换了，以前所有的和以后所换的，都应视为圣物，不得赎回」。
27.34	这是上主在西乃山为以色列子民向梅瑟吩咐的法令。
