1.-2t	编年纪下		
32.1 	这些忠贞之事作完之后，亚述王散乃黑黎布来进攻犹大，包围一切坚城，企图攻破，占为己有。		
32.2 	希则克雅见散乃黑黎布前来，决意要进攻耶路撒冷，		
32.3 	便与自己的将领和勇士商议，将城外的水泉堵塞；他们都赞成；		
32.4 	于是召集许多人，将水泉和通过田间的水渠都堵塞，说：「为什么让亚述王来，得到这样多的水！		
32.5 	希则克雅遂加强防御工事，重修所有破裂的城墙，上面建上城楼，城外又筑了一道墙，加强达味城的米罗，制造了许多箭矢和盾牌。		
32.6 	然后派了将官率领军民，将他们集合到城门广场他自己面前，鼓励他们说：「		
32.7 	你们应该勇敢大胆，不要害怕，不要因亚述王和他所统领的大军而胆怯，因为那与我们同在的比与他同在的，更有能力。		
32.8 	那与他同在的只是血肉的手臂，那与我们同在的却是天主，我们的天主，他必要协助我们，为我们作战。」众人都因犹大王希则克雅这番话而得到鼓励。		
			
32.9t	亚述王的侮辱		
32.9 	此后，亚述王散乃黑黎布派自己的臣仆到耶路撒冷来，─他本人偕全军驻在拉基士─向犹大王希则克雅，和在耶路撒冷所有的犹大人说：「		
32.10	亚述王散乃黑黎布这样说：你们在耶路撒冷受困，还依靠什么呢﹖		
32.11	希则克雅曾对你们说过：雅威我们的天主必要救我们脱离亚述王的手，这岂不是诱惑你们，使你们饿死渴死吗﹖		
32.12	希则克雅岂不是将高丘和乡坛推翻，且吩咐犹大和耶路撒冷人说：你们应在一个坛前朝拜，单在这上面焚香吗﹖		
32.13	难道你们不知道我与我的祖先，对各列邦民所作的事吗﹖列邦各地的神，是否曾能拯救自己的国土，脱离我的手﹖		
32.14	我祖先所消灭的那些邦国的诸神中，有那一个曾能够拯救自己的百姓，脱离我的手﹖难道你们的神就能拯救你们脱离我的手吗﹖		
32.15	所以现在，不要让希则克雅这样欺骗你们，迷惑你们；你们也不要相信他，因为任何一个国家，一个民族的神，都不能拯救自己的百姓，脱离我的手，和我祖先的手；何况你们的神﹖他更不能拯救你们脱离我的手！		
32.16	散乃黑黎布的臣仆，还说了许多毁谤上主天主，和他仆人希则克雅的话。		
32.17	散乃黑黎布也写信嘲笑上主以色列的天主，侮辱他说：「就如列邦民族的神没有拯救自己的百姓脱离我的手，同样希则克雅的神也不能救自己的百姓脱离我的手。」		
32.18	随后，他们用犹大方言向耶路撒冷城墙上的军民呼喊，想惊吓他们，令他们恐惧，以便夺取京城。		
32.19	他们论及耶路撒冷的天主，好似论及列邦民族的神一样，当作了人手的造物。		
			
32.20t	希则克雅祈祷获允		
32.20	希则克雅王与阿摩兹的儿子依撒意亚先知为此巷天祈求呼吁。		
32.21	上主便派一位天使进入亚述王的营中，将所有的兵士、将军和统帅，予以歼灭，使亚述王含羞回了本国。当他进入自己的神庙时，为他亲生的儿子用剑所杀。		
32.22	这样，上主救了希则克雅和耶路撒冷的居民，脱离了亚述王散乃黑黎布和所有敌人的手，使他们四境获得了安宁。		
32.23	众人就都到耶路撒冷向上主献上礼品也赠予犹大王希则克雅礼物；从此以后，希则克雅乃为各国所敬重。		
32.24	那时，希则克雅害病要死，他哀求了上主，上主便应允了他，给了他一个异兆。		
32.25	但是，希则克雅不但没有照他所受的恩惠还报，反而心高气傲，于是上主的怒火降于他和犹大并耶路撒冷。		
32.26	以后，希则克雅抑制了自己的骄傲，他和耶路撒冷居民都自谦自卑，因此上主的怒气，在希则克雅生时，没有向他们发作。		
			
32.27t	希则克雅一生概略		
32.27	希则克雅享尽富贵荣华，建造了府库，储藏金银、宝石、香料、盾牌和各种珍器；		
32.28	修建了仓廪，储藏五谷、新酒和油；修盖了棚栏，为养各类牲畜；为羊群修了羊栈；		
32.29	又畜养了驴，以及许多大小牲畜；天主实在赐给了他极多的财物。		
32.30	希则克雅堵住基红泉上边的水，将水直引到达味城西。希则克雅所作所为无不顺利。		
32.31	甚至巴比伦王公大人派使者来见希则克雅，询问他国内发生的奇事时，天主也让他自由，借以考验他，好知道他心中的一切。		
32.32	希则克雅其余的事迹，以及他的善行，都记载在阿摩兹的儿子依撒意亚先知的神视录及犹大和以色列列王实录上。		
32.33	希则克雅与他的祖先同眠，葬在达味子孙墓地的斜坡上；他死了，全犹大和耶路撒冷居民都为他举哀致敬；他的儿子默纳舍继位为王。		
			
			
33.0t	第三十三章		
			
33.1t	默纳舍崇拜偶像		
33.1 	默纳舍登极时年十二岁，在耶路撒冷作王凡五十五年。		
33.2 	他行了上主视为恶的事，仿效上主从以色列子民前驱逐的异民所行的可耻之事。		
33.3 	他重建了他父亲希则克雅所拆毁的高丘，又为巴耳建立了祭坛，制造阿舍辣，叩拜奉事天上的万象。		
33.4 	虽然上主曾指着圣殿说过：「我要将我的名永远立在耶路撒冷，」他仍在上主殿内建立了一些祭坛；		
33.5 	且在上主殿的两庭院内，为天上万象建立了一些祭坛；		
33.6 	使自己的儿子在本希农山谷中经火，行占卜，邪术和魔术，立招魂师和术士；不断行上主视为恶的事，惹上主发怒。		
33.7 	他又在天主殿内立了他所雕制的偶像；虽然论及这殿天主曾对达味和他的儿子撒罗满说过：「我要在这殿内，和在我由以色列各支派所选出的耶路撒冷城，立我的名，直到永远。		
33.8 	只要以色列人遵行我借梅瑟所吩咐他们的一切法律、典章和律例，我不再使他们的脚，离开我赐予你们祖先的土地。」		
33.9 	但默纳舍诱惑犹大和耶路撒冷的居民行恶，甚于上主由以色列子民前所消灭的那些民族。		
			
33.10t	默纳舍受罚改过		
33.10	为此，上主曾警告默纳舍和他的百姓，但是他们不肯听从。		
33.11	因此，上主使亚述王的将官前来攻打他们，用钩子钩住默纳舍，用锁链锁住，解送到巴比伦。		
33.12	默纳舍在这患难中，呼求了上主他的天主，在他祖先的天主前，大发谦卑，		
33.13	哀恳上主，上主便俯允了他的祈求，垂听了他的哀祷，使他归回耶路撒冷，恢复了他的王位；默纳舍这才知道只有上主是天主。		
			
33.14t	扫除偶像		
33.14	此后，默纳舍在达味城外另筑了一道城墙，西边由谷内的基红起，直到鱼门，将敖斐耳围起，且将城墙加建的很高；在犹大各坚城内派有将帅驻守。		
33.15	又从上主殿内除去了外神和偶像，将他在上主殿的山上和耶路撒冷所建立的祭坛，都一律拆毁，拋在城外，		
33.16	重修了上主的祭坛，在上面献和平祭和感恩祭，命令犹大人只奉事上主以色列的天主。		
33.17	但是民众仍然在高丘献祭，不过只向上主天主献祭。		
			
33.18t	默纳舍逝世		
33.18	默纳舍其余的事迹，以及他向天主所作的祷词，并诸先见者奉上主，以色列天主的名对他所说的话，都记载在以色列列王实录上。		
33.19	他如何祈祷和上主如何应允，他未自卑以前的一切罪恶和不忠，以及他在何处建立高丘，立阿舍辣和雕刻的偶像等事，都记载在诸先见者的言行录上。		
33.20	默纳舍与他的祖先同眠，葬在他王宫的花园里；他的儿子阿孟继位为王。		
			
33.21t	阿孟登极		
33.21	阿孟登极时年二十二岁，在耶路撒冷作王二年。		
33.22	他行了上主视为恶的事，全如同他父亲默纳舍；向他父亲默纳舍所雕刻的一切偶像献祭膜拜，		
33.23	从没有像他父亲默纳舍在上主面前自谦自卑过；阿孟只知罪上加罪。		
33.24	为此，他的臣仆共谋造反，在宫中将他杀死。		
33.25	当地的人民却将所有反叛阿孟王的人都杀了，立他的儿子约史雅继位为王。		
			
			
34.0t	第三十四章		
			
34.1t	约史雅登极		
34.1 	约史雅登极时才八岁，在耶路撒冷作王凡三十一年。		
34.2 	他行了上主视为正义的事，走了他祖先达味所走的路，不偏左，也不偏右。		
			
34.3t	宗教改革		
34.3 	他在位第八年，虽然年幼，就已经开始寻求他祖先达味的天主；在位第十二年，就已开始清洁犹大和耶路撒冷，除去高丘、木偶、雕像和铸像。		
34.4 	他看着人把巴耳的丘坛拆毁，他亲自打碎丘坛上的香炉，将木偶、雕像和铸像打碎，磨成粉末，撒在祭祀偶像的人的坟上；		
34.5 	在祭坛上焚烧了邪神司祭的骨骸，这样洁净了犹大和耶路撒冷。		
34.6 	他在默纳协、厄弗辣因、西默盎、以及纳斐塔里各城和其周围四郊，也行了同样的事：		
34.7 	拆毁丘坛，将木偶和雕像打碎，将以色列全境内所有的太阳柱都砍倒；然后回了耶路撒冷。		
			
34.8t	重修圣殿		
34.8 	约史雅在位第十八年，进行清洁各地和圣殿时，派阿匝里雅的儿子沙番，城尉玛阿色雅和约阿哈次的儿子约阿黑御史，去修理他的天主上主的圣殿。		
34.9 	他们便去见大司祭希耳克雅，将献于天主殿宇的银钱当面交给他。这些银钱是守门的肋未人，由默纳协、厄弗辣因和以色列全体遗民，以及犹大、本雅明和耶路撒冷居民那里收来的。		
34.10	他们再转交给监督上主殿内工作的人，这些人发给在上主殿内工作和修理殿宇的人，		
34.11	即发给木匠和泥水匠，或购买凿好的石头和作木架及栋梁的木料，来修理历代犹大王失修的建筑。		
34.12	这些工人都勤于操作，监管他们工作的监督是默辣黎族的肋未人雅哈特与敖巴狄雅，和刻哈特族的则加黎雅与默叔蓝；尚有精于乐器的肋未人，		
34.13	兼管搬运的人，督促做各种工作的人。肋未人中还有些作书记，作职员，作门丁的。		
			
34.14t	法律书的发现		
34.14	人们将献于上主殿宇的银钱拿出来的时候，大司祭希耳克雅发现了上主借梅瑟所颁布的法律书。		
34.15	希耳克雅告诉书记沙番说：「我在上主殿内发现了法律书。」遂将书交给了沙番。		
34.16	沙番带着那卷书去见君王，向君王回报说：「凡陛下命你仆人所办的事，都已照办了。		
34.17	已将上主殿内所有的银钱倒出来，交在监督和工人的手里了。」		
34.18	书记沙番继而向君王报告说：「大司祭希耳克雅还交给我一卷书。」沙番就在君王面前朗诵了那书。		
34.19	君王一听了法律上的话，就撕裂了自己的衣服，		
34.20	立即吩咐希耳克雅、沙番的儿子阿希甘、米加的儿子阿贝冬、书记沙番和君王的臣仆阿撒雅说：「		
34.21	你们快去为我，为以色列的遗民和犹大，询问上主关于所发现的这书上的话，因为我们的祖先没有遵守上主的话，未照这书上所记载的去行，所以上主才向我们大发愤怒。」		
			
34.22t	胡耳达女先知的神谕		
34.22	希耳克雅和君王所派的人，去见胡耳达女先知，她是掌管礼服的沙隆的妻子─沙隆是哈色辣的孙子，堤刻瓦的儿子。胡耳达住在耶路撒冷新区；他们对她说明来意，		
34.23	她就回答他们说：「上主以色列的天主这样说：你们回报那派你们来见我的人说：		
34.24	上主这样说：我必要使在犹大王前所读的书中记载的灾祸和一切诅咒，降在这地和这地上的居民身上，		
34.25	因为他们舍弃了我，向别的神焚香；他们所做的，无不惹我动怒，所以我的怒火要向这地方发作，总不熄灭。		
34.26	至于那派你们来求问上主的犹大王，你们要这样对他说：上主以色列的天主这样说：因为你听了这些话，		
34.27	因为你一听了我指着这地和这地上的居民所说的话，你的心就已感化，在上主面前自卑自贱，撕裂了你的衣服，在我面前痛哭，我也应允了你：上主的断语。		
34.28	我要使你与你祖先团聚，你要安归你的坟墓；你的眼睛见不到我在这地上和这些居民身上要降的灾祸。」他们回去，将她说的话呈报给君王。		
			
34.29t	重立盟约		
34.29	君王于是派人召集犹大和耶路撒冷所有的长老来；		
34.30	君王同所有的犹大人，耶路撒冷的居民、司祭、肋未人、全体人民，不分贵贱，都上到上主的殿内，在上主殿内，将寻获的约书上的一切话，读给他们听。		
34.31	君王站在高台上，在上主面前立约，要全心全意服从上主，遵守他的诫命，他的典章和他的法律，履行这书上所载的盟约的话；		
34.32	他使所有的耶路撒冷的人都接受这盟约。于是耶路撒冷的居民都按照上主，他们祖先天主的盟约而行。		
34.33	约史雅将以色列子民各地的一切可耻之物除去，使所有在以色列的人，都奉事上主他们的天主。约史雅王在世时，他们从未离弃上主，他们祖先的天主。		
			
			
35.0t	第三十五章		
			
35.1t	庆祝逾越节		
35.1 	事后，约史雅王在耶路撒冷向上主举行逾越节；正月十四日宰杀了逾越节羔羊，		
35.2 	分派了司祭的职务，勉励他们在上主殿内服务；		
35.3 	然后对那些教诲以色列民众并祝圣于上主的肋未人说：「你们应将约柜放在以色列王达味的儿子撒罗满所建的殿里，不必再用肩抬；从今以后，只应为上主你们的天主，和他的人民以色列服务。		
35.4 	你们应依家族和班次，照以色列王达味和他的儿子撒罗满所规定的，自做准备；		
35.5 	要按照家族的班次，照平民兄弟们的需要，在圣殿内值班，每班内应有几个肋未家族的人。		
35.6 	应宰杀逾越节羔羊，圣洁自己，为你们弟兄预备一切，全照上主借着梅瑟吩咐的进行。」		
35.7 	约史雅于是送给了百姓绵羔羊和山羔羊，凡三万只，为在场的人作逾越节的祭品；此外，还有公牛羊三千头，全是出于君王所有的。		
35.8 	他的朝臣也自愿给百姓、司祭和肋未人赠送祭品。天主圣殿的主管希耳克雅、则加黎雅和耶希耳，送给了司祭们二千六百只羔羊，三百头公牛，作为逾越节的祭品。		
35.9 	肋未人的领袖苛纳尼雅和他的两个兄弟舍玛雅和乃塔乃耳，以及哈沙彼雅、耶依耳和约匝巴得，送给了肋未人五千只羔羊，五百头公牛，作为逾越节的祭品。		
35.10	职务安排好了以后，司祭各站在自己的地方，肋未人亦各按班次，照君王所吩咐的，站在自己的地方，		
35.11	宰杀逾越节羔羊，司祭由他们手中接过血来洒，肋未人继续剥去牲皮，		
35.12	将应烧的一份取出来，交给平民按家族分成的小组，叫他们依照梅瑟法律所载，奉献给上主；他们也照样奉献了公牛。		
35.13	然后按照常例，用火烤熟逾越节羔羊，用锅或鼎，或罐煮熟其于奉献的圣物，迅速分给百姓。		
35.14	这以后才为自己和司祭预备，因为亚郎的子孙司祭们，直到晚上，忙于奉献全燔祭和脂油，故此肋未人应为自己，也为亚郎的子孙司祭准备一切。		
35.15	阿撒夫的后裔歌咏者，遵照达味、阿撒夫、赫曼和王的先见者耶杜通的规定，立在自己的地方；门丁看守各门，无须离开自己的职守，因为有他们的弟兄肋未人为他们准备。		
35.16	这样，一切为供奉上主，守逾越节，在上主的祭坛上奉献全燔祭的事务，当日都依照约史雅王的吩咐准备好了。		
35.17	在场的以色列子民当时便举行逾越节，并举行无酵节七天。		
35.18	自先知撒慕尔时日以来，在以色列就从未曾举行过这样的逾越节；以色列各君王也没有举行过象约史雅同司祭、肋未人，在场的犹大和以色列民众，并耶路撒冷居民所举行的这逾越节。		
35.19	这次逾越节是在约史雅第十八年上举行的。		
			
35.20t	约史雅逝世		
35.20	这些事以后，约史雅修理完了圣殿，埃及王乃苛上来攻打幼发拉的河畔的加革米士。约史雅便出兵抵抗他。		
35.21	乃苛派使者对约史雅说：「犹大王，我与你有什么关系﹖我今天来不是攻击你，而是要进攻幼发拉的河，并且天主吩咐我急速前进；你不要干预天主的事，因为天主与我同在，免得他毁灭你。」		
35.22	约史雅不但不转身离去，反而坚持要攻打他，不听从天主借乃苛所说的话，遂到默基多平原去作战。		
35.23	弓手射伤了约史雅王，王对自己的仆人说：「我受了重伤，将我带走！」		
35.24	他的仆人将他由所乘的车中抱出来，放在另一辆车上，带到耶路撒冷，王遂死了，葬在他祖先的坟墓里。全犹大和耶路撒冷都举丧哀悼约史雅，		
35.25	耶肋米亚为约史雅作了一首挽歌，所有歌唱的男女都唱这首歌词来哀悼约史雅，直到今日，甚至在以色列中成了常例。这些歌词都载在挽歌集内。		
35.26	约史雅其余的事迹，以及他遵循上主法律所载而行的大业，		
35.27	和他前后所行的事迹，都记载在以色列和犹大列王时录上。		
			
			
36.0t	第三十六章		
			
36.1t	约阿哈次王朝		
36.1 	当地的人民立了约史雅的儿子约阿哈次在耶路撒冷继父位为王。		
36.2 	约阿哈次登极时二十三岁，在耶路撒冷为王三个月，		
36.3 	因为埃及王在耶路撒冷废除了他，且要那地方纳一百「塔冷通」银子，一「塔冷通」金子的罚款。		
36.4 	以后，埃及王立了他的兄弟厄里雅金为犹大和耶路撒冷王，给他改名叫约雅金；乃苛将他的兄弟约阿哈次带到埃及去了。		
			
36.5t	约雅金王朝		
36.5 	约雅金登极时年二十五岁，在耶路撒冷为王凡十一年。他行了上主视为恶的事。		
36.6 	巴比伦王拿步高前来攻击他，用铜链将他捆住，带往巴比伦。		
36.7 	拿步高也将上主殿内一部份器皿带到巴比伦，安置在巴比伦他的神庙里。		
36.8 	约雅金其余的事迹，以及他所行的丑恶，和他遭遇的一切，都记载在以色列和犹大列王实录上。他的儿子耶苛尼雅继位为王。		
			
36.9t	耶苛尼雅王朝		
36.9 	耶苛尼雅即位时年十八岁，在耶路撒冷作王三个月又十天。他行了上主视为恶的事。		
36.10	次年岁首，拿步高派人来，将耶苛尼雅和上主殿内的珍器，带往巴比伦，立了他的叔父漆德克雅为王，管理犹大和耶路撒冷。		
			
36.11t	犹大灭亡		
36.11	漆德克雅登极时年二十一岁，在耶路撒冷为王凡十一年。		
36.12	他行了上主视为恶的事，虽然先知耶肋米亚奉上主的命来劝勉他，他仍不在耶肋米亚面前自谦自卑。		
36.13	拿步高王虽曾叫他指着天主起誓，他仍背叛了拿步高；更加执拗顽固，总不肯归依上主，以色列的天主。		
36.14	此外，所有的司祭首长和百姓罪上加罪，仿效了异族所行的一切丑恶之事，污辱了上主在耶路撒冷祝圣的殿宇。		
36.15	上主他们祖先的天主，由于爱惜自己的百姓和自己的居所，时常不断派遣使者警戒他们；		
36.16	无奈他们都嘲笑了天主的使者，轻视了他的劝告，讥笑了他的先知，致使上主的怒火发泄在他的百姓身上，直到无法救治。		
36.17	因此，上主使加色丁人的君王前来攻打他们，用刀将他们的壮丁在圣殿里杀死，没有怜恤他们的幼男少女，以及白发耆老；上主将所有的人都交在敌人手中。		
36.18	加色丁人王又将天主殿内所有的大小器皿，上主殿内的宝物，君王和朝臣的宝物，都带往巴比伦，		
36.19	焚毁了上主的殿宇，拆坏了耶路撒冷的城墙，烧了城中所有的宫殿，毁坏了城内一切珍贵的器皿；		
36.20	凡免于刀下的人，都被掳到巴比伦去，作他及他子孙的奴仆，直到波斯帝国兴起。		
36.21	这样，就应验了上主借耶肋米亚的口所说的话：「直到这地域补享了它的安息年，在整个荒芜期中获享安息，直到七十年。」		
			
36.22t	居鲁士颁发上谕		
36.22	波斯王居鲁士元年，为应验上主借耶肋米亚的口所说的话，上主感动了波斯王居鲁士的心，叫他出一道号令，向全国颁发上谕说：「		
36.23	波思王居鲁士这样说：上天的神「雅威，」将地上万国交给了我，嘱咐我在犹大的耶路撒冷为他建筑一座殿宇，你们中间凡作他子民的，可以上去；愿他的神与他同在!		
			
