1.-2t	耶肋米亚		
42.14	42:14 或说：不，我们要去埃及地，在那里再见不到战争，再听不到号声，再不缺乏食粮；我们要去住在那里!		
42.15	42:15 那么，犹大的遗民!请你们听上主的话。万军的上主，以色列的天主这样说：假使你们决意要往埃及去，在那里寄居，		
42.16	42:16 你们害怕的刀剑，必在埃及地袭击你们；你们忧虑的饥荒，必在埃及跟踪你们，使你们死在那里。		
42.17	42:17 凡决意往埃及去，到那里寄居的人，必要死于刀剑、饥荒和瘟疫，没有一人能幸免，逃脱我给他们招来的灾祸。		
42.18	42:18 的确，万军的上主，以色列的天主这样说：正如我对耶路撒冷居民曾发怒泄恨；同样我要对去埃及的你们泄恨，叫你们遭受憎恨、厌恶、诅咒、侮辱，永不再见此地。」		
42.19	42:19 「犹大的遗民!这是上主对你们说的话：不要到埃及去。你们该清楚知道：我今天对你们作证，		
42.20	42:20 你们实在是自己欺骗自己；原是你们派我去求问上主你天主说：请你为我们转求上主我们的天主，凡上主我们的天主说的，你要全告诉我们，我们必依照遵行。		
42.21	42:21 我今天告诉了你们，你们却全不听从上主你们的天主，打发我来告诉你们的话。		
42.22	42:22 现在，你们该知道：在你们要去寄居的地方，你们必死于刀剑、饥荒和瘟疫。」		
			
			
43.0t	第四十三章(13)		
			
43.1t	先知在埃及		
43.1 	43:1 耶肋米亚向全体人民说完上主他们的天主的一切话，即上主他们的天主派遣他来向他们转告的这一切话以后，		
43.2 	43:2 玛阿色雅的儿子阿匝黎雅和卡勒亚的儿子约哈南，以及一切傲慢反叛的人，就对耶肋米亚说：「你说谎；上主我们的天主并没有派你说：你们不要去寄居在埃及；		
43.3 	43:3 只是乃黎雅的儿子巴路克挑唆你反对我们，好将我们交在加色丁人手中，或杀或掳到巴比伦去。」		
43.4 	43:4 卡勒亚的儿子约哈南和众部队首领以及全体人民，没有听从上主的劝告，住在犹大地内。		
43.5 	43:5 卡勒亚的儿子约哈南和众部队首领，反而率领全体犹大遗民，即那些四散到各民族间，又回来住在犹大境内的人：		
43.6 	43:6 男子和妇女，幼童和王家闺秀，以及卫队长乃步匝辣当给沙番的孙子，阿希甘的儿子留下的人，连同先知耶肋米亚和乃黎雅的儿子巴路克，		
43.7 	43:7 到埃及地去了；没有听从上主的劝告，而来到塔黑培乃斯。		
43.8 	43:8 在塔黑培乃斯上主有话传给耶肋米亚说：「		
43.9 	43:9 你用手拿一些大石头，当着犹大人眼前，藏在塔黑培乃斯法郎王宫门前石铺地道下面，		
43.10	43:10 然后对他们说：万军的上主，以色列的天主这样说：看，我必派人去领我的仆人巴比伦王拿步高来，在你藏的这些石头上安置他的宝座，张设他的华盖。		
43.11	43:11 他必来攻打埃及地，叫那该死的死，该掳的掳，该杀的杀；		
43.12	43:12 必来放火焚烧埃及的神庙，烧毁或掳走庙内的神象；必来收取埃及地，如同牧人收取自己的外衣；最后安然离去。		
43.13	43:13 此外，他还要粉碎埃及地太阳神庙的石柱，放火焚烧埃及的神庙。」		
			
			
44.0t	第四十四章(30)		
			
44.1t	国破家亡仍不悔改		
44.1 	44:1 以下是关于住在埃及地，住在米革多耳，塔黑培乃斯、诺夫和帕特洛斯地的一切犹太人，传给耶肋米亚的话：「		
44.2 	44:2 万军的上主，以色列的天主这样说：你们看见了我对耶路撒冷和犹大各城召来的一切灾祸，看，今日已成为无人居住的旷野。		
44.3 	44:3 这是因为他们做了惹我动怒的恶事，向他们、你们和你们的祖先从不认识的外方神祇焚香敬拜；		
44.4 	44:4 虽然我早就不断给你们派遣我所有的先知仆人们说：你们切不可做我所憎恨的可恶之事!		
44.5 	44:5 他们却没有侧耳听从，没有放弃他们向外方神祇焚香的恶习。		
44.6 	44:6 于是我的愤恨如火发作，焚毁了犹大城市和耶路撒冷的街市，使她成为荒凉的旷野，有如今日。		
44.7 	44:7 现在，上主万军的天主，以色列的天主这样说：为什么你们招来这样大的灾祸，加害自己，使你们中的男人、妇女、幼童、婴儿，全由犹大灭绝，不给你们留下遗民﹖		
44.8 	44:8 为什么你们做惹我动怒的事，向你们来寄居的埃及地的外方神祇献香，使你们自遭灭亡，成为普世万民诅咒和耻笑的对象﹖		
44.9 	44:9 难道你们忘了你们的祖先、犹大君王和他们的妻妾、你们自己和你们的女人，在犹大地和耶路撒冷街上犯的种种罪恶﹖		
44.10	44:10 他们直到今日尚不后悔，也不畏惧，更不履行我给你们和你们的祖先颁布的法律和诫命。		
44.11	44:11 为此，万军的上主，以色列的天主这样说：看，我面向你们，是为降灾，消灭整个犹大。		
44.12	44:12 凡决意往埃及地去，要在那里寄居的犹大遗民，我必要铲除，叫他们全死在埃及地，丧身刀下，饥饿而死；不分老幼都死于刀剑、饥荒，饱受憎恨、厌恶、诅咒和侮辱。		
44.13	44:13 我必以刀剑、饥荒和瘟疫惩罚住在埃及地的人，如惩罚耶路撒冷一样，		
44.14	44:14 使前往寄居埃及的犹大遗民，无一能幸免逃脱，返回他们所渴望回去居住的犹大地；除少数脱身者外，他们不会回来了。」		
44.15	44:15 于是凡知道自己的女人曾向外方神祇烧香的人，和一大群环立在旁的妇女，以及住在埃及地和帕特洛斯的全体人民，就答复耶肋米亚说：		
44.16	44:16 「你奉上主的名对我们说的话，我们不愿听从；		
44.17	44:17 至于凡出自我们口中的话，我们必定实行，给天后焚香奠酒，如同我们、我们的祖先、君王及首领，在犹大城和耶路撒冷街上所做的一样；那时我们都丰衣足食，安享太平，不见灾祸。		
44.18	44:18 可是，自从我们断绝向天后献香，不给她奠酒以来，我们就什么也缺乏，死于刀剑和饥荒。		
44.19	44:19 至于我们的女人向天后焚香奠酒，又那能没有我们男人的同意，依照她的形状，给她备制祭饼，向她奠酒呢﹖」		
44.20	44:20 耶肋米亚便对全体人民，对答复他的男人和妇女以及所有的人说：		
44.21	44:21 「难道你们、你们的祖先、君王、首领和地方上的人民，在犹大城和耶路冷街上烧香的事，上主就不记得了，再也不怀念在心了吗﹖		
44.22	44:22 上主再也不能容忍你们邪恶的行为，和你们做的可恶的事，为此你们的土地变成了荒野，成了惊愕和诅咒的对象，无人居住，有如今日：		
44.23	44:23 就因为你们烧香得罪了上主，不听上主的劝告，不覆行他的法律、诫命和法令，才给你们招来了象今日这样的灾祸。」		
44.24	44:24 以后，耶肋米亚又对全体人民和全体妇女说：「凡在埃及境内的犹大人，请听上主的话!		
44.25	44:25 万军的上主，以色列的天主这样说：你们和你们的女人，都要亲手做你们亲口说的事；你们说：我们决意实践我们许的誓愿，向天后烧香奠酒。你们就实践你们的誓愿，举行你们的奠祭罢!		
44.26	44:26 但是，所有住在埃及地的犹大人，你们且听上主的话：看，我以我伟大的名起誓──上主说：在埃及全地任何犹大人的口中，不会再呼号我名说：我主上主永在!		
44.27	44:27 看，我注视他们，是为降灾，不是为赐福，使在埃及地所有的犹大人，都死于刀剑饥荒，彻底消灭；		
44.28	44:28 即使有逃脱刀剑，从埃及地回到犹大的人，为数也寥寥无几。到埃及地来寄居的全体犹大遗民，终于会知道：谁的话要应验，是我的还是他们的。		
44.29	44:29 这为你们是个征兆──上主的断语──就在这地方我要惩罚你们，叫你们知道：我对你们要降灾的话，必要绝对应验。		
44.30	44:30 上主这样说：看，我必将埃及王法郎曷斐辣交在他仇人和图谋他性命的人手中，就如我曾将犹大王漆德克雅，交在他仇人和图谋他性命的巴比伦王拿步高的手中一样。」		
			
			
45.0t	第四十五章(5)		
			
45.1t	巴路克必可保性命		
45.1 	45:1 以下是耶肋米亚先知对乃黎雅的儿子巴路克说的话：他在犹大王约史雅的儿子约雅金第四年，由耶肋米亚口授，在卷册上记录了这些话：		
45.2 	45:2 「上主，以色列的天主论及你，巴路克，这样说：		
45.3 	45:3 你曾说：我多么可怜!因为上主在我的愁苦上还加添痛苦；我呻吟憔悴，得不到安宁!		
45.4 	45:4 你应这样对他说：上主这样说：看!我拆毁的，是我所建造的；我拔除的，是我所栽培的；我要打击全地，		
45.5 	45:5 你还有什么大事可为自己请求；不必请求了。看，我给一切血肉招来灾祸──上主的断语──至于你，不论你到什么地方去，我必赐你获得性命，如获胜利品。」		
			
			
46.-1t	四编　论及异民的神谕(46-51)		
			
46.0t	第四十六章(28)		
			
46.1t	涉及外邦的神谕		
46.1 	46:1 上主传给耶肋米亚先知论及外邦的话。		
46.2 	46:2 关于埃及：对于埃及王法郎乃苛，于犹大王约史雅的儿子约雅金第四年，在幼发拉的河附近的加克米士，被巴比伦王拿步高击败的军队：		
46.3 	46:3 你们应准备盾牌铠甲，冲锋上阵!		
46.4 	46:4 骑士，你们应装备战马，快骑上，戴上盔，磨快枪，披甲出阵!		
46.5 	46:5 怎么﹖我看见他们惊惶溃退，他们的勇士遭受袭击，急速奔逃，不敢回顾，竟然恐怖四起﹖──上主的断语。		
46.6 	46:6 敏捷的不能逃脱，英勇的不能自救，在靠近幼发拉的河的北岸，瓦解覆灭!		
46.7 	46:7 那如尼罗，水波起伏如河流，涌上来的是谁﹖		
46.8 	46:8 埃及如尼罗，水波起伏如河流，涌上来说：「我涌上来淹没大地，扫灭城市和城中的居民。		
46.9 	46:9 战马上前，战车急驰，战士出阵，持盾的雇士人和普特人，张弓的路丁人!		
46.10	46:10 这一天正是我主万军的上主，报复自己仇敌的复仇日，刀剑必要吞噬、饱尝、痛饮他们的鲜血；在靠近幼发拉的河北岸，我主万军的上主必要执行一场大屠杀。		
46.11	46:11 埃及的处女!你尽管上基肋阿得去拾取香草，只是徒然增添药材；你已无法治疗!		
46.12	46:12 万民闻知了你的羞辱，大地充满了你的哀哭；噫!勇士冲向勇士，双方同时倒仆。		
46.13	46:13 上主论及巴比伦王拿步高前来攻击埃及地，对耶肋米亚先知说的话：		
46.14	46:14 你们在埃及宣传，在米革多耳传报，在诺夫及塔黑培乃斯传布说：你起来准备!刀剑已在你四周撕杀。		
46.15	46:15 怎么，阿丕斯逃跑了，你的牛神也站立不住﹖原来上主已将它推倒。		
46.16	46:16 你的混合部队已离心溃退，各向自己的同僚说：起来，回到我们的民族，我们的生身地去，远避吞杀的刀剑!		
46.17	46:17 人应给埃及王法郎起个绰号，叫「时机过后的叫嚣。」		
46.18	46:18 我永在──那称谓万军上主的君王的断语──有一位必要前来，势如群山中的大博尔，又如海滨的加尔默耳。		
46.19	46:19 寄居在埃及的女儿!请你自备流徙的行装，因为诺夫将要变为荒野，被火焚烧，再没有人居住。		
46.20	46:20 埃及是一头美丽的小母牛，但是有一只牛蝇从北方向她扑来。		
46.21	46:21 她的佣兵在她内虽象肥胖的牛犊，也一同转身逃遁，不能抵抗，因为他们遭殃的日子，受罚的时期，已来到他们身上。		
46.22	46:22 她发声嘶嘶好象蛇行，因为敌人正在率军前进，好象伐木的樵夫，带着斧钺向她冲来：		
46.23	46:23 砍伐她的森林──上主的断语──虽然它稠密得不可侵入，因为他们多于蝗虫，不可胜数。		
46.24	46:24 埃及女儿，已被交在北方民族手里，遭受污辱。		
46.25	46:25 万军的上主，以色列的天主说：「看，我必惩罚诺地的阿孟，法郎和埃及，埃及的神祇和君王，以及信赖法郎的人，		
46.26	46:26 将他们交在图谋他们性命的巴比伦王拿步高和他臣仆的手中；但是以后，埃及仍如昔日有人居住──上主的断语。		
46.27	46:27 至于你，我的仆人雅各伯，你不用害怕；以色列，你不必惊慌；因为，看，我必从远方救出你来；从充军之地，救出你的后裔；雅各伯必将归来，居享安宁，无所恐惧。		
46.28	46:28 雅各伯，我的仆人!你不用害怕──上主的断语──有我与你同在；诚然，对我使你流徙所至的各民族，我要加以毁灭；但是你，我必不毁灭，只依照正义惩罚你，不让你全然免罚。		
			
			
47.0t	第四十七章(7)		
			
47.1t	关于培肋舍特人的神谕		
47.1 	47:1 在法郎尚未进攻迦萨以前，关于培肋舍特，上主有话传给耶肋米亚先知说：		
47.2 	47:2 上主这样说：「看，有水从北方涌来，形成一条泛滥的河流，淹没大地和地上的一切，首都和其中的居民；人们必要喊叫，大地所有的居民必要哀号。		
47.3 	47:3 一听到他骏马的铁蹄声，辚辚的战车声，和隆隆的飞轮声，为父亲的已束手无策，不能再顾及自己的儿子，		
47.4 	47:4 因为消灭一切培肋舍特人，和摧毁提洛及漆冬一切残余助手的日子来到了，上主要消灭培肋舍特人，加非托尔岛的遗民。		
47.5 	47:5 迦萨已一片荒凉，阿市刻隆已遭受灭亡；阿纳克人的遗民，你们要割伤己身到何时呢﹖		
47.6 	47:6 唉!上主的刀剑!到何时你才休息﹖请你入鞘休息安歇罢!		
47.7 	47:7 但上主既对它出了命，它怎能休息﹖阿市刻隆和海滨，是他给它指向的地方。		
			
			
48.0t	第四十八章(47)		
			
48.1t	关于摩阿布的神谕		
48.1 	48:1 关于摩阿布：万军的上主，以色列的天主这样说：「祸哉，乃波!因为她遭受了浩劫；克黎雅塔殷蒙受了羞辱，被人攻占；城堡被人侮辱，饱受惊恐。		
48.2 	48:2 摩阿布的夸耀不再存在，在赫市朋就有人对她蓄意谋害：「来，我们将她铲除，使她不再是个民族!」连你玛德门，也要遭受蹂躏，在你后面紧随着刀剑。		
48.3 	48:3 由曷洛纳因传来哀号的声音：蹂躏!绝大的蹂躏!		
48.4 	48:4 摩阿布遭受了蹂躏，哀号之声直达左阿尔。		
48.5 	48:5 他们哭泣着攀登路希特山坡；在曷洛纳因斜坡上，人们可听到凄惨的悲号：		
48.6 	48:6 请你们逃跑，拯救你们的性命!愿你们有如旷野中的杨柳!		
48.7 	48:7 正因你信赖你的工作和财富，你也要被占领；革摩士与自己的司祭和执事，也要一同充军。		
48.8 	48:8 正如上主说了：蹂躏者必踏遍所有的城市，无一可以幸免；山谷必遭破坏，平原必受摧残。		
48.9 	48:9 你们给摩阿布立墓碑，因为她已全被消灭，她的城邑全化为无人居住的荒野?ぉ?		
48.10	48:10 那怠慢执行上主工作的，是可咒骂的；那制止自己的刀剑见血的，也是可咒骂的?ぉ?		
48.11	48:11 摩阿布自少年就享安逸，安息在自己的糟粕上，从没有由一缸倾注到另一缸内，也从没有被掳充军，为此她的滋味仍然存在，她的香味还未改变。		
48.12	48:12 惟其如此，看，时日将到──上主的断语──我必给她派倾倒的人来将她倒空，倒干她的酒缸，打碎她的酒瓶；		
48.13	48:13 那时，摩阿布必因革摩士而受辱，就如以色列家因他们信赖的贝特耳而受辱一样。		
48.14	48:14 你们怎能说：「我们是勇士，善战的力士﹖」		
48.15	48:15 蹂躏摩阿布者上来进攻她的城市，精锐的少年，下去遭受杀戮──名叫「万军上主」的君王的断语──		
48.16	48:16 摩阿布的灾难已逼近前来，她的祸患加速进行。		
48.17	48:17 你们四邻，凡认识她声名的，都应对她惋惜说：「怎么，威能的权杖，光荣的柄杖，也被折断!」		
48.18	48:18 住在狄朋的女儿!你该由荣耀中下来，坐在干地上，因为蹂躏摩阿布者已前来攻击你，摧毁你的要塞。		
48.19	48:19 阿洛厄尔的居民!请你站在路旁观望，向在逃亡出走的男女探问说：「发生了什么事﹖」		
48.20	48:20 摩阿布已羞愧无地，因为已经瓦解；你们应悲哭哀号，在阿尔农宣布：「摩阿布遭受了蹂躏!」		
48.21	48:21 惩罚已来到了平原之地，到了曷隆、雅哈兹和默法阿特；		
48.22	48:22 到了狄朋、乃波和贝特狄贝拉塔因；		
48.23	48:23 到了克黎雅塔殷、贝特加慕耳和贝特默红；		
48.24	48:24 到了克黎约特、波责辣和摩阿布地远近的各城市。		
48.25	48:25 摩阿布的角已被砍下，她的手臂已被折断──上主的断语。		
48.26	48:26 请你们灌醉她，因为她自高自大，反抗上主；摩阿布必要在自己的呕吐中辗转，连她自己也要成为笑柄。		
48.27	48:27 以色列为你岂不是一个笑柄﹖难道她是被人发现在盗贼之中，为什么你一提到她，就只有摇头﹖		
48.28	48:28 摩阿布的居民!你们该离弃城市，住在岩石间，彷佛在深谷悬崖边缘结巢的鹁鸽。		
48.29	48:29 我们听说过摩阿布的骄傲，她的确骄傲无比；我们也听说过她的强横、矜夸、自大和心中的傲慢。		
48.30	48:30 我知道她狂妄，好事空谈，举动轻率──上主的断语──		
48.31	48:31 为此，我为摩阿布哀哭，为整个摩阿布悲号，为克尔赫勒斯人叹息。		
48.32	48:32 息贝玛葡萄园!我为雅则尔痛哭，更为你痛哭；你的枝叶曾越过海洋，伸展到雅则尔；现在蹂躏者竟突然来摧残你夏季的果实和秋季的收获。		
48.33	48:33 摩阿布的田园已再没有欢欣喜乐；我已使槽中无酒可榨；榨酒的不再榨酒，再也听不见欢呼。		
48.34	48:34 赫市朋和厄肋阿肋的哀号远达雅哈兹，由祚阿尔发出的呼声，直达曷洛纳因和厄革拉舍里史雅，因为尼默陵的水业已枯竭。		
48.35	48:35 如此，我要给摩阿布灭绝上高丘向神祇献香的人──上主的断语──		
48.36	48:36 为此我的心象笛萧一般为摩阿布呜咽，我的心象笛箫一般为克尔赫勒斯人呜咽，因为他们获得的积蓄，都已丧失。		
48.37	48:37 人人剃光头发，人人剪去胡须，手上带有割伤，腰间系有苦衣；		
48.38	48:38 摩阿布所有的屋顶如广场上，处处可听到哀声，因为我击碎了摩阿布，有如击碎一不中人意的器皿──上主的断语──		
48.39	48:39 摩阿布崩溃得多么凄惨!你们真该嚎啕!她是多么含羞转过背来!摩阿布竟成了她四邻的笑柄和恐怖。		
48.40	48:40 因为上主这样说：「看，敌人好象老鹰飞翔，向摩阿布展开自已的翅膀，		
48.41	48:41 攻取了城池，占领了要塞；在那一日，摩阿布的勇士必心志颓丧有如临产的妇人。		
48.42	48:42 摩阿布必要消灭，不再成为一个民族，因为她自高自大，反抗上主。		
48.43	48:43 摩阿布的居民!恐怖、陷阱和罗网齐来袭击你──上主的断语──		
48.44	48:44 逃脱了恐怖的，必落在陷阱里；爬出了陷阱的，必为罗网缠住；在惩罚她的那年，我要给摩阿布召来这一切──上主的断语──		
48.45	48:45 逃命的人，筋疲力尽，站在赫市朋的阴影下；但是从赫市朋发出了火，从息红宫中冒出了火焰，吞灭了摩阿布的首领，和骚动子民的头目。		
48.46	48:46 祸哉，摩阿布!革摩士的人民!你算完了，因为你的儿子已被掳去充军，你的女儿流为囚徒；		
48.47	48:47 虽然如此，在末日我仍要转变摩阿布的命运──上主的断语。至此是关于摩阿布的判决。		
			
			
49.0t	第四十九章(39)		
			
49.1t	关于阿孟的神谕		
49.1 	49:1 关于阿孟子民：上主这样说：「难道以色列没有子孙，没有后嗣﹖为什么米耳公占据了加得，而他的人民竟住在加得的城中﹖		
49.2 	49:2 为此，看，时日将到──上主的断语──我必使阿孟子民的辣巴听到战争的吶喊；她要成为一堆废墟，她的附属城市要为火烧尽；以色列终归要继承自己的产业──上主说。		
49.3 	49:3 赫市朋，哀号罢!因为破坏者已来近了；辣巴的女郎!你们该哭泣，穿上苦衣哀伤，割伤自己的身体，因为米耳公要与自己的司祭和公卿，同去充军。		
49.4 	49:4 失节的女郎!你为什么要夸耀你的山谷是富裕的山谷，仗恃你的宝藏说：「有谁敢来与我对抗﹖		
49.5 	49:5 看，我从各方给你召来恐怖──我主万军上主的断语──你们必被驱逐，各自奔逃，再没有人来聚集逃散的人。		
49.6 	49:6 虽然如此，日后我仍要转变阿孟子民的命运──上主的断语。」		
			
49.7t	关于厄东的神谕		
49.7 	49:7 关于厄东，万军的上主这样说：「难道在特曼已没有智慧，聪敏的人已计穷才尽了吗﹖		
49.8 	49:8 德丹的居民!你们该转身逃遁，藏居深处，因为我要给厄撒乌招来灾祸，已到了惩罚他的时候。		
49.9 	49:9 如果收葡萄的人来到你这里，决不会留下残余；如果盗贼夜间来袭，必要尽力抢取；		
49.10	49:10 我就要这样暴露厄撒乌，揭发他的隐处，使他无法躲藏；他的后裔，必被消灭，不再存于自己的邻邦中。		
49.11	49:11 请留下你的孤儿，我必使他们生存，你的寡妇也可托付给我。		
49.12	49:12 因为上主这样说：看，那原来不该饮苦爵的，一定要饮，你要想完全免罚吗﹖你决不致于免罚，你也该痛饮!		
49.13	49:13 因为，我曾指自己起誓──上主的断语──波责辣必成为一片荒凉，受人憎恨、侮辱和诅咒；她所有的城市，必要永远变为荒野。		
49.14	49:14 我从上主听得了一个消息，在万民间传开了一个号令：「你们该联盟向她进攻!你们该起来交战!」		
49.15	49:15 因为，看，我已使你成为万民中最小的，成为人间最可轻贱的。		
49.16	49:16 你高居在石缝的隐处，盘据在峻岭的山巅。你自以为惊异，你心内的骄傲欺骗了你。即使你象老鹰一样高结你的巢穴，我也要从那里将你推下──上主的断语。		
49.17	49:17 厄东必变成荒野，凡由她那里经过的人，见了她的种种惨状，必要唏嘘嗟叹。		
49.18	49:18 她必要象毁灭的索多玛、哈摩辣及附近的城市一样──上主说──再没有人居住，再没有人在那里寄宿。		
49.19	49:19 看，好象一只雄狮，从约但的丛林上来，走向常绿的牧场；同样，我也要突然将他们赶走，派我选定的人民来统治。诚然，谁是我的对手﹖谁敢向我提出质问﹖谁是能对抗我的牧人﹖		
49.20	49:20 为此，请你们听上主对厄东设计的计谋，对特曼居民策划的策略：连最弱小的羊也要被人牵去，他们的牧场也必陷于战慄中。		
49.21	49:21 他们倒塌的响声，震撼大地；哀号之声，直达红海。		
49.22	49:22 看，他好象老鹰飞升翱翔，在波责辣上展开自己的翅膀；在那一日，厄东的勇士必心志颓丧，有如临产的妇女。		
			
49.23t	关于大马士革的神谕		
49.23	49:23 关于大马士革：哈玛特和阿尔帕得听到了不好的消息，大起恐慌，象海洋一样动荡，愁苦得不能安宁。		
49.24	49:24 大马士革失去勇气，转身逃遁，极感战慄，备受忧虑痛苦，好象一临产的妇女。		
49.25	49:25 哀哉，有名的城邑，享乐的都市，已被摒弃!		
49.26	49:26 她的少年将倒毙在广场，她的战士在那一日内要悉数灭亡──万军上主的断语──		
49.27	49:27 我必在大马士革城墙上放火，吞灭本哈达得的宫阙。		
			
49.28t	关于刻达尔和哈祚尔的神谕		
49.28	49:28 关于刻达尔和巴比伦王拿步高克服了的哈祚尔诸国，上主这样说：「起来!进攻刻达尔，蹂躏东方子民!		
49.29	49:29 夺取他们的帐幕和牲畜，帷幔和所有的器具；牵走他们的骆驼，向他们吶喊：四面恐怖。		
49.30	49:30 哈祚尔的居民!你们应逃遁远去，藏匿深处──上主的断语──因为巴比伦王拿步高已设计谋害你们，已策画攻击你们。		
49.31	49:31 起来，进攻优游闲居，不设门闩，孑然独居的民族──上主的断语──		
49.32	49:32 抢夺他们的骆驼，劫掠他们成群的牲畜；凡剃去鬓发的，我必叫他们随风飘散，由四面八方给他们招来灾祸──上主的断语──		
49.33	49:33 哈祚尔要变为豺狼的巢穴，永远荒凉，不会留下一人，不会再有人居住。」		
			
49.34t	关于厄蓝的神谕		
49.34	49:34 犹大王漆德克雅初年，关于厄蓝有上主的话传给耶肋米亚先知说：		
49.35	49:35 「万军的上主这样说：看，我要折断厄蓝的弓弩，称雄的势力；		
49.36	49:36 我要从天下四面八方，给厄蓝召来四方的风，使他们随风飘散，以致没有一个民族，没有厄蓝的难民。		
49.37	49:37 我必使厄蓝在自己的仇敌，和图谋自己性命的人前，惊惶失措；给他们招来灾祸，我忿怒的火焰──上主的断语──派出刀剑追迫他们，直至将他们完全消灭。		
49.38	49:38 我必在厄蓝设立我的宝座，歼灭其中的君王将帅──上主的断语──		
49.39	49:39 虽然如此，在末日我仍要转变厄蓝的命运──上主的断语。」		
			
			
50.0t	第五十章(46)		
			
50.1t	关于巴比伦的神谕		
50.1 	50:1 关于巴比伦和加色丁地上主藉耶肋米亚先知所说的话：		
50.2 	50:2 你们该在民族间宣布传扬，该树起旗帜传扬，不该隐瞒，说：「巴比伦已陷落了，贝耳遭受了羞辱，默洛达客倾倒了；她的偶象遭受了耻辱，她的神祇倾倒了。」		
50.3 	50:3 因为有一民族从北方上来，向她进攻，使她的国土化为无人居住，人兽绝迹的荒野。		
			
50.4t	以民回归故乡		
50.4 	50:4 在那些日子里和在那时期中──上主的断语──以色列子民要与犹大子民一同归来，且走且哭，寻觅上主他们的天主，		
50.5 	50:5 他们必询问熙雍的所在，面朝往那里的道路说：来，让我们以永久不可忘的盟约依附上主!」		
50.6 	50:6 我的人民是一群迷途的羊群，他们的牧人使他们流浪，在群山间徘徊，翻山越岭地漫游，忘掉了自己的羊栈。		
50.7 	50:7 凡遇见他们的，就将他们吞噬；他们的仇敌反而说：「我们并没有过错，因为是他们得罪了上主，正义的渊源和他们祖先的希望。」		
			
50.8t	邀请外邦人离开巴比伦		
50.8 	50:8 你们该逃离巴比伦，走出加色丁地，如同羊群前领头的公山羊。		
50.9 	50:9 因为，看，我必从北方，发动一群强盛的民族前来进攻巴比伦，列阵向她进攻，就地将她攻陷；他们的箭象是善战的勇士，从不空手而归。		
50.10	50:10 加色丁必遭劫掠，凡劫掠她的，必心满意足──上主的断语。		
			
50.11t	遗弃巴比伦		
50.11	50:11 你们抢夺我产业的人，你们尽管喜乐，尽管欢欣：跳跃，好象踏青的小公牛；嘶鸣，有如获偶的牡马!		
50.12	50:12 你们的母亲已遭受极大的耻辱，生养你的，已满面羞惭。看，她已成为民族中最卑下的，成了旷野、旱地和荒原；		
50.13	50:13 在上主的盛怒下，她已无人居住，满目凄凉：凡经过巴比伦的人，看见她的种种惨状，莫不惊异嗟叹。		
			
50.14t	上前进攻		
50.14	50:14 一切开张弓弩的射手!你们应列阵围攻巴比伦，向她射击，不要吝惜箭羽，因为她得罪了上主。		
50.15	50:15 你们四周围绕，向她吶喊!她必伸手请降，她的城楼必将陷落，她的城墙必要被攻陷，因为这是上主的报复。你们报复她，照她作的还报!		
50.16	50:16 你们要歼灭巴比伦播种和手持镰刀收割的人!面临无情的刀剑，各人回归自己的民族，各自逃往自己的故乡。		
			
50.17t	以色列归国		
50.17	50:17 以色列是狮子追捕的亡羊，首先吞噬她的，是亚述君王；最后咬碎她骨骸的，是巴比伦王拿步高。		
50.18	50:18 为此，万军的上主，以色列的天主这样说：「看，我要惩罚巴比伦王和他的国土，就如我惩罚了亚述君王一样。		
50.19	50:19 我要领以色列回归自己的牧场，在加尔默耳和巴商牧放，使他们的心灵在厄弗辣因与基肋阿得山上，获得满足。		
50.20	50:20 在那些日子里和在那时期中──上主的断语──要想寻求以色列的不义，却一无所有；要想寻求犹大的罪恶，却一无所见；因为我必宽恕我留下的遗民。		
			
50.21t	上主的剑出击巴比伦		
50.21	50:21 你们该向默辣塔因地推进，进攻培科得的居民，屠杀，彻底将他们消灭──上主的断语──全照我吩咐的进行。		
50.22	50:22 地上发生了交战的吶喊，巨大的毁灭。		
50.23	50:23 怎么，威震全地的锤子也被破碎毁坏了﹖怎么，巴比伦在万民中也变得如此凄凉﹖		
50.24	50:24 我给你布下罗网，你竟被捉住；而你，巴比伦，尚不自觉；你被寻获，且被捉住，因为你竟敢违抗上主!」		
50.25	50:25 上主开了自已的武库，搬出了自己泄怒的武器，因为吾主万军的上主，在加色丁地有事要完成。		
50.26	50:26 你们从四面八方向她涌来，打开她的仓库，堆积成堆，彻底消灭，不给她留下残余；		
50.27	50:27 屠杀她的一切公牛，叫他们下入屠场!他们的灾难临头，因为他们的日子到了，到了惩罚他们的时候。		
50.28	50:28 听从巴比伦地逃命出走的人，在熙雍报告说：「上主我们的天主在复仇，为自己的殿宇雪耻。		
50.29	50:29 你们召集弓手，一切挽弓的人，来向巴比伦进攻，在她周围扎营，不要让她有人逃脱，该按照她的作为而报复她，照她所作的对待她，因为她傲慢反对上主，反对以色列的圣者。		
50.30	50:30 为此，她的青年人要倒毙在她的广场，她所有的战士都要在那一天内灭亡──上主的断语──		
50.31	50:31 你这骄横的人!看，我来对付你──我主万军上主的断语──因为你的日子到了，到了惩罚你的时候。		
50.32	50:32 骄横的必要倾覆颠仆，再没有人来使她复兴；我必放火烧毁她的城市，火要吞灭她四周的一切。」		
			
50.33t	残忍的报复		
50.33	50:33 万军的上主这样说：「以色列子民与犹大子民一同遭受了压迫；凡俘掳他们的，都扣留他们，不肯释放。」		
