1.-2t	依撒意亚
39.8	希则克雅便对依撒意亚说：「你所说的上主的话很好。」他想：「只愿在我有生之日有平安，有安全!」
	
	
40.-1t	后编安慰书(40-66)
	
40.0t	第四十章(31)
	
40.1t	传报喜讯
40.1	「你们安慰，安慰我的百姓罢!」你们的天主说。
40.2	你们应向耶路撒冷说宽心的话，并向她宣告：她的苦役已满期，她的罪债已清偿，因为她为了自己的一切罪过，已由上主手中承受了双倍的惩罚。
40.3	有一个呼声喊说：「你们要在旷野中预备上主的道路，在荒原中为我们的天主修平一条大路!
40.4	一切深谷要填满，一切山陵要产平，隆起的要削为平地，崎岖的要辟成坦途!
40.5	上主的光荣要显示出来，凡有血肉的都会看见：这是上主亲口说的。」
40.6	有个声音说：「呼喊罢!」我答说：「我呼喊什么﹖」「凡有血肉的都似草，他的美丽似田野的花；
40.7	上主的风吹来，草必枯萎，花必凋谢。【的确，人民好象草。】
40.8	草能枯萎，花能凋谢，但我们天主的话永远常存。」
40.9	给熙雍传喜讯的啊!请登上高山!给耶路撒冷报喜讯的啊!请大声疾呼!高呼罢!不要畏惧!向犹大各城报告说：你们的天主来了!
40.10	吾主上主带着威能来到，他的手臂获得了胜利；他的胜利品与他同在，他获得的酬劳在他面前。
40.11	他必如牧人，牧放自己的羊群，以自己的手臂集合小羊，把它们抱在自己的怀中，温良地领导哺乳的母羊。
	
40.12t	唯天主至高无上
40.12	谁曾用手心量过海水，用手掌测量过天，用升斗量过地上的尘土，用天秤称过高山，用戥子撑过丘陵呢﹖
40.13	谁曾指挥过上主的心灵；或做过他的参谋，教导过他呢﹖
40.14	他曾向谁请教过，请他教导自己，指导自己正路，教授自己智识，指示明智的行径呢﹖
40.15	看哪!万民像桶中的一滴水，如天秤上的一粒沙；看，岛屿重如一粒灰尘。
40.16	黎巴嫩不够当柴烧，其中的野兽不足作燔祭。
40.17	万民在他面前好象乌有，在他看来只是空虚净无。
40.18	你们要把天主同谁相比拟呢﹖你们把他与什么相对照呢﹖
40.19	与偶像吗﹖偶像是工匠铸造，金匠再包上金子，然后再铸银链围起来。
40.20	精于选料的人，在选择一块不朽的木头，再寻找一位精明的工匠，将铸像立定，不致倒下。
40.21	难道你们不知道﹖难道你们没有听说﹖难道从起初没有人告诉过你们﹖难道由大地肇基以来你们没有细察过吗﹖
40.22	他坐在大地的穹窿之上，地上的居民有如蝗虫一般。他展开天幕有如帷幔，伸开天空有如居住的蓬帐。
40.23	他使王侯化为乌有，叫地上的士绅成为虚无。
40.24	他们刚被栽上，刚被种植，刚在土中扎根，他向他们一嘘气，他们一嘘气，他们便立即枯萎，暴风卷枯秸似的将他们卷走。
40.25	「你们把我同谁比拟呢﹖要我与谁相似呢﹖」圣者如此说。
40.26	你们举目向上，看看是谁造了这些呢﹖是他按照数目展开了他的万军，按照次序一一点名，在这强而有力和威能者前，没有一个敢缺席的。
	
40.27t	唯有天主可靠
40.27	雅各伯!你为什么说﹖以色列!你为什么讲：「上主看不见我的命运!我的天主忽略了我的案件!」
40.28	难道你不知道，或者没有听说：上主是永生的天主，是创造地极之主吗﹖他总不疲倦，决不困乏，他的智慧高深莫测。
40.29	他赐给疲倦者力量，赐给无力者勇气。
40.30	少年人能疲倦困乏，青年人能失足跌倒；
40.31	然而仰望上主的，必获得新力量，必能振翼高飞有如兀鹰，疾驰而不困乏，奔走而不疲倦。
	
	
41.0t	第四十一章(29)
	
41.1t	万民畏惧居鲁士
41.1	群岛啊!请肃静听我!让万民前来!让他们前来开口说话；让我们一起互相辩论!
41.2	是谁由东方唤醒了那人，使他步步遇到胜利﹖是谁将众民交付给他，又使列王臣服于他呢﹖他的刀剑使他们化为灰尘，他的弓箭分散他们有如草芥。
41.3	他追击他们时，平安地经过；他的脚好象没有踏着道路一样。
41.4	是谁从原始安排了历代的事而予以实行成就呢﹖我，上主，是元始，与最末者同在的也是我。
41.5	群岛一见即害怕起来，地极为之震动，遂都聚集前来；
41.6	彼此相助，并对自己的同伴说：「勇敢些!」
41.7	工匠鼓励金匠，抡大锤的鼓励使小锤的，夸赞焊工说：「焊的好!」遂用钉子钉住，使偶像不致动摇。
	
41.8t	以民无需畏惧
41.8	但是你，我的仆人以色列，我所拣选的雅各伯，我的好友亚巴郎的苗裔，
41.9	你是我由地极领来的，是我从远方召来的，我曾向你说过：「你是我的仆人，我拣选了你，我决不放弃你。」
41.10	你不要害怕，因为我与你在一起；你不要惊惶，因为我是你的天主；我必坚固你，协助你，用我胜利的右手扶持你。
41.11	凡向你泄怒的，必蒙羞受辱；凡同你争辩的，必要灭亡，化为乌有。
41.12	凡与你争吵的人，你找他们，也找不到。凡与你交战的人，必化为乌有，归于虚无，
41.13	因为是我，上主，你的天主，提携着你的右手，向你说过：「不要害怕，有我协助你。」
41.14	雅各伯虫豸啊!以色列蛆虫啊!不要害怕，我必协助你──上主的断语──你的救主是以色列的圣者。
41.15	看啊，我使你成为一架锋利多齿的新打禾机，叫你压榨高山，压得粉碎，使丘陵变为碎末。
41.16	你要簸扬它们，风必将它们卷去，暴风必吹散它们；然而你要因上主而喜乐，因以色列的圣者而夸耀。
41.17	贫困和穷苦的人，若找水而无所获，他们的舌头渴得焦燥，我上主必俯允他们，我，以色列的天主必不弃舍他们。
41.18	我要在秃山上开辟河流，在空谷中喷出泉源；我要使沙漠变为池沼，使干地化为喷泉。
41.19	我要在沙漠中种植香柏木、皂荚、桃金娘和橄榄树；在荒野中要把柏树、榆树和云杉树一起栽植起来；
41.20	为使人们看见，知道，同时因深思而了解：这是上主的手所做的，是以色列的圣者所创造的。
	
41.21t	唯上主是真神
41.21	拿出你的理由来，上主说：呈上你的证据来，雅各伯的君王说。
41.22	让他们前来，告诉我们将要发生什么事；让他们告诉我们，那以往的事有什么意义，好叫我们记在心中；或者让我们听听那要来的事罢，好叫我们知道那事的结果。
41.23	请你们说说那以后要来的事，好叫我们知道你们是神；无论好坏请你们做一下，好叫我们都惊奇害怕。
41.24	看哪!你们竟是乌有，你们的工作也是虚无；那选择你们的实在可憎。
41.25	我由北方唤起了一个人，他就来了；我由日出之地呼唤了他的名字，他将蹂躏王侯有如泥泞，又如陶工践踏黏土。
41.26	谁首先说过这事，好叫我们知道，在事前说过，而叫我们说「对啦﹖」实在没有一个预言过，没有一个讲过，也没有一个听见过你们说话。
41.27	只有我是第一位给熙雍报告过这事，给耶路撒冷遣发了一位报告喜讯的。
41.28	我环视四周，了无一人；他们中没有一个可做谋士，向他询问，可回答一句的。
41.29	看哪，他们都是乌有，他们的工作是虚无，他们的铸像是空气，是空虚。
	
	
42.0t	第四十二章(25)
	
42.1t	咏「上主仆人」的诗歌
42.1	请看我扶持的仆人，我心灵喜爱的所选者!我在他身上倾注了我的神，叫他给万民传布真道。
42.2	他不呼喊，不喧嚷，在街市上也听不到他的声音。
42.3	破伤的芦苇，他不折断；将熄的灯心，他不吹灭；他将忠实地传布真道。
42.4	他不沮丧，也不失望，直到他在世上奠定了真道，因为海岛都期待着他的教诲。
42.5	那创造且展布天空，铺张大地和布置大地的产物，给世人赐予气息，并给在地上行动的，赐与呼吸的天主上主这样说：
42.6	「我，上主，因仁义召叫了你，我必提携你，保护你，立你作人民的盟约，万民的光明，
42.7	为开启盲人的眼目，从狱中领出被囚的人，从牢里领出住在黑暗的人。
42.8	我是上主，这是我的名字；我决不将我的光荣让与另一位，决不将我应受的赞美归于偶像。
42.9	先前的事，看，已经成就；我再宣告新近的事，在事未发生之前，我先告诉你们。」
	
42.10t	咏赞天主的伟大
42.10	你们应向上主高唱新歌，称述他的荣耀直到地极!愿海洋和其中一切，愿岛屿和其上的居民赞美他!
42.11	愿旷野和那里的城邑，刻达尔人所居住的村落欢呼!愿色拉的居民高声歌唱，从山顶上吶喊!
42.12	愿众人都归光荣于上主，在岛屿上称述他的荣耀!
42.13	上主出征有如勇士，激起怒火有如战士；他要高喊呼叫，对自己的敌人显出他的英勇。
42.14	「我已缄默好久，安静自抑；然而现今我要像待产的妇女，呼喊、呻吟和哀叹。
42.15	我要使大山丘陵干透，使上边的草木枯槁；我要使河流化为旱地，使池沼涸竭。
42.16	我要领瞎子走他们不知道的路，带他们行不认识的道；使黑暗在他们前化为光明，使崎岖之途变为平坦；这些事我都要作，我决不放弃。
42.17	凡依赖偶像且向神像说：「你们是我们的神」的人，必要败退，蒙受奇辱。」
	
42.18t	民众聋盲如初
42.18	聋子，你们听!瞎子，你们睁眼看!
42.19	除了我的仆人外，谁还那么瞎呢﹖谁如同我派遣的人那么聋呢﹖谁像与我立和约的人那样瞎呢﹖谁似上主的仆人那样聋呢﹖
42.20	他虽然看见了许多事，却一无所觉；耳朵开着，却没有听见。
42.21	上主为了自己的仁义，本来愿意把法律发扬广大，
42.22	但这民族遭受了洗劫和抢掠，被束缚于桎梏之中，隐伏于监狱之内；他们成了抢掠之物，而无人搭救；受人劫夺，而无人敢说：「交出来!」
42.23	你们中有谁静听这事，今后倾耳静听呢﹖
42.24	是谁把雅各伯交付给抢掠者﹖是谁将以色列交给了劫夺者﹖不是他们所得罪的，不肯行他的道路，不肯听从他的法律的那位上主吗﹖
42.25	因此他在这民族身上发泄了自己的烈怒和战火；火已在她四周烧起，她仍不理会，已燃烧着她，她仍未放在心上。
	
	
43.0t	第四十三章(28)
	
43.1t	以民将返故乡
43.1	但是现今，雅各伯啊!那创造你的，以色列啊!那形成你的上主这样说：「你不要害怕!因为我救赎了你，我以你的名子召叫了你，你是我的。
43.2	当你由水中经过时，我必与你在一起；当你渡河时，河水不得淹没你；当你在火中走过时，你不致烙伤，火焰也烧不着你。
43.3	因为我是上主，你的天主；以色列的圣者，你的救主；我使埃及作你的赎价，以雇士和色巴来代替你。
43.4	因为你在我眼中是宝贵的，是贵重的，我爱慕你；所以我拿别人交换了你，拿别的民族交换了你的性命。
43.5	不要害怕!因为我同你在一起，我要从东方领回你的子女，从西方将你召集在一起；
43.6	我要向北方说：「交出来!」向南方说：「不要拦阻他们，要将我的儿子们从远方带来，要将我的女儿们由地极领回，
43.7	就是凡归于我名下，并为了我的光荣而创造、形成和造化的人。」
	
43.8t	唯上主能施救
43.8	领那有眼而瞎，有耳而聋的民族出来罢!
43.9	让列国聚在一起，万民集合起来!他们中谁能预言这事呢﹖谁能预先报告给我们过去的事呢﹖让他们找出证人来，为证实自己有理，好让听众能说：「对啊!」
43.10	你们就是我的证人──上主的断语──你们是我拣选的仆人，为叫你们认识和信仰我，并明白我就是「那位；」在我以前，没有受造的神，在我以后，也决不会有。
43.11	我，只有我是上主，我以外没有救主；
43.12	是我预言了，是我施行了拯救，是我宣布过的；你们中没有别的神。你们是我的证人──上主的断语──我是天主，
43.13	且由永远就是；没有人能从我手中救出谁来；我要做的，谁能扭转﹖
	
43.14t	巴比伦将要毁灭
43.14	上主，你们的救主，以色列的圣者这样说：「为了你们，我派了人到巴比伦去，我要打断一切门闩，将加色丁人的狂欢变为悲哀。
43.15	我是上主，你们的圣者，以色列的造主，你们的君王。」
	
43.16t	重演出谷奇迹
43.16	上主这样说：──他曾在海中开了一条路，在怒潮中辟了一条道；
43.17	曾使车、马、军队和将领一同前来，使他们沉没，再未浮起，他们遂被消灭，像灯心一样被熄灭──
43.18	「你们不必追念古代的事，也不必回忆过去的事!
43.19	看哪!我要行一件新事，如今即要发生，你们不知道吗﹖看哪!我要在荒野中开辟道路，在沙漠里开掘河流。
43.20	田野间的走兽、豺狼和鸵鸟都要赞美我，因为我在旷野中使水涌出，在沙漠里使河流成渠，为赐给我拣选的百姓喝：
43.21	就是我为自己所造化的人民，好叫他们讲述我的荣耀。」
	
43.22t	上主的怨诉
43.22	「但是，雅各伯啊!你并没有呼号我；以色列啊!你竟厌烦了我。
43.23	你没有献给我全燔祭羔羊，也没有用你的牺牲光荣我；我从来没有因了素祭而劳累你，也没有因了馨香祭而烦扰你。
43.24	你不但没有花钱给我买香菖蒲，也没有以你牺牲的肥脂供养我，反而用你的罪恶劳累了我，以你的愆尤烦扰了我。
43.25	是我，是我自己，为了我自己的缘故，免除了你的过犯，不再怀念你的罪恶。
43.26	请你提醒我，让我们一起来辩论：你先说罢!好表示你无罪。
43.27	你的祖先犯了罪，你的中保背叛了我!
43.28	为此，我使你的圣君受了亵渎，使雅各伯遭受了毁灭，使以色列遭到了耻辱。」
	
	
44.0t	第四十四章(28)
	
44.1t	以民将蒙祝福
44.1	但是现在，我的仆人雅各伯!我所拣选的以色列!你听罢!
44.2	那造成你，从母胎形成你，且协助你的上主这样说：「我的仆人雅各伯!我所拣选的耶叔戎，你不要害怕!
44.3	因为我要把水倒在干地上，使豪雨落在旱陆上；我要把我的神倾住在你的苗裔身上，把我的祝福降在你的子孙身上。
44.4	他们要生长，有如水边的青草，又如溪畔的杨柳。
44.5	这个说：「我是上主的，」那个要起雅各伯的名字，另一个要在手上写：「属于上主，」并要起以色列的名号。
	
44.6t	惟上主是真神
44.6	上主，以色列的君王，救主，万军的上主这样说：「我是元始，我是终末，在我以外没有别的神。
44.7	谁相似我﹖让他前来伸述，让他说明，给我拿出证据来!谁能从永远预言未来的事，请他告诉我们快要发生的事罢!
44.8	你们不必惊慌，不用害怕!我不是早已告诉过你，早已宣布了吗﹖你们是我的证人，在我以外还有别的神吗﹖决没有别的盘石!我一个也不认识!」
	
44.9t	崇拜偶像的昏愚
44.9	制造偶像的人都是虚无，他们所喜爱的，也毫无用处；他们的见证人一无所见，毫无所知，必将蒙受耻辱。
44.10	有谁制造神像或铸偶像，不想得利呢﹖
44.11	看哪!凡作他伙伴的，都要蒙受耻辱，因为制造偶像的，也只是人而已!让他们集合起来一同前来罢!他们必要惊慌羞愧!
44.12	铁匠先在炭火上工作，再用锤子打成偶像，他用大力的手臂工作，当饥饿时，也就没有力量；没有水喝，他就疲劳不堪。
44.13	木匠伸展绳墨，用笔划线，后拿刨子刨平，再用圆规测量，做成一个人形，具有人的美丽，好供在庙里。
44.14	人先去砍伐一块香柏，或取一块榆木，或橡木；或在树林中选一块坚固的木料，或自己种植一棵月桂树，让雨水使之长大。
44.15	这些木料原是为人作燃料，原可用来取暖，也可燃烧烘烤面包；人却用它来作神像去恭敬，或做偶像去叩拜：
44.16	人把一半木头投入火中燃烧，在火炭上烤肉吃；待吃饱了烤肉，又取了暖，遂说：「哈哈!我暖和了，也觉得有了火!」
44.17	遂用剩下的一半作了一个神像，一个偶像，向它叩拜，俯伏恳求说：「求你救我，因为你是我的神!」
44.18	他们不了解，也不觉悟，因为他们的眼糊住了，什么也看不见；他们的心也不知觉悟，
44.19	也不回心想一下，也不会明智通达地说：「一半木头我已投入火中烧了，并在火炭上烤了面包，烤了肉吃；我竟将剩下的一半作了一个怪物，向这块木头敬拜。」
44.20	他所追求的仅是一把灰；他迷惑的心领他走入歧途，而不能自拔，也不会问说：「我右手所拿的不是虚无吗﹖」
	
44.21t	唯上主能救以民
44.21	雅各伯啊!你要记住这些事!以色列啊!你也应记住，因为你是我的仆人，我造了你，是叫你作我的仆人。以色列啊!我决不会忘了你!
44.22	我消除了你的罪过，有如烟消；我消除了你的愆尤，有如云散；归依我罢!因为我救赎了你。
44.23	诸天，欢腾罢!因为上主作了这一切；地下的深渊，欢呼罢!山岭、森林和其中的树木，高声歌唱罢!因为上主拯救了雅各伯，在以色列显扬了自己。
	
44.24t	上主重建耶京
44.24	你的救主，由母胎形成你的上主这样说：「我是创造万有的上主，只有我展开了诸天，布置了大地，谁与我同在﹖
44.25	是我破坏了占卜者的预兆，使巫士成为愚妄，使智者退后，使他们的知识变为愚蠢，
44.26	是我叫我仆人们的话实现，叫我使者们的计谋成功；是我论及耶路撒冷说：「你必要有人居住。」论及犹大各城说：「你们要被重建，我必要重建你们的废址。」
44.27	是我对深渊说：「你必涸竭，我要使你的河流干涸。」
44.28	是我论及居鲁士说：「他是我的牧人，他要履行我的一切计划，要吩咐重建耶路撒冷，奠基重修圣殿。」
	
	
45.0t	第四十五章(25)
	
45.1t	居鲁士的使命
45.1	上主这样对他的受傅者居鲁士说：──我牵着他的右手，使他蹂躏他面前的列国，解除列王的腰带；我在他前开启城门，使门户不再关闭──
45.2	「我要走在你前面，把崎岖的路修平；我要把铜门打破，将铁闩击碎，
45.3	把隐藏的钱财和秘密的宝物赐给你，为叫你知道：是我上主，以色列的天主，提着你的名召叫了你。
45.4	为了我的仆人雅各伯和我拣选的以色列的缘故，我提着你的名召叫了你，给你起了这个称号，纵然你还不认识我。
45.5	我是上主，再没有另一位；除我以外，没有别的神；虽然你还不认识我，我却武装了你，
45.6	为叫从日出到日落之地的人都知道：除我之外，再没有另一位。我是上主，再没有另一位；
45.7	是我造了光明，造了黑暗；造了幸福，降了灾祸：是我上主造成了这一切。」
45.8	诸天，请由上滴下甘露，望云彩降下正义，愿大地裂开生出救恩，愿正义一同出生!我上主创造了这事。
	
45.9t	上主是主宰
45.9	祸哉，那与自己的制造者争辩的!瓦器岂能与搏泥者争辩﹖陶器岂能对陶工说：「你做的是什么啊!」或说：「你手制的不精美!」
45.10	祸哉!那向父亲说：「你为什么生子﹖」或向母亲说：「你为什么生育」的人!
45.11	以色列的圣者、安排将来的上主这样说：「关于我子女的事，你们要质问我吗﹖或者对我手中的工作，你们有所吩咐吗!
45.12	是我造了大地，又造了地上的人；是我亲手展开了诸天，布置了天上的星辰；
45.13	是我由于仁义唤起了他；我要修平他的道路，他要修建我的城池，遣回我的俘虏，而不索取赎金，也不要求报酬。」这是万军上主说的。
	
45.14t	普世归主
45.14	上主这样说：「埃及的工人，雇士的商人，以及色巴的巨人，都要过来，归属于你；他们都要带着锁链追随你后；并俯伏在你面前，恳求你说：惟独你这里有天主，以外没有别的神明。」
45.15	以色列的天主，救主!你真是隐密的天主。
45.16	制造偶像的人必蒙羞受辱，一同归于羞惭。
45.17	但以色列必因上主而得救，获享永远的救恩：你们不会蒙羞受辱，直到永远。
45.18	因为那创造诸天的上主──只有他是天主，是他创造、形成和奠定了大地：他并非创造了一团混沌，而是为使人居住才造了它──他这样说：「我是上主，没有另一位。
45.19	我没有在隐秘处或黑暗之地说过话，我没有给雅各伯的子孙说过：你们徒然寻求了我!我上主，只说真实，惟讲公理。
45.20	列国的余民!你们一起集合起来，一同前来罢!凡抬过偶像，敬拜过不能施救的神祇的，真是无知!
45.21	请你们陈述，请你们证明，也让你们一同商量商量：是谁从古时就叫人听到这事呢﹖是谁早已宣布了呢﹖不是我，上主吗!的确，除我以外，没有别的神!除我以外，再没有一个仁义的神和救主。
45.22	大地四极的人!你们归依我，必能得救，因为只有我是天主，再没有另一个。
45.23	我指着我自己起誓：真理一出我口，那话决不返回；人人都将向我屈膝，众舌都要指着我起誓。
45.24	人都要说：唯有在上主前有仁义和力量。凡向他发怒的，必要含羞地归依他。
45.25	以色列所有的后裔，必要因上主获胜夸耀。」
	
	
46.0t	第四十六章(13)
	
46.1t	邪神与真神之分
46.1	贝耳塌下了，乃波倾倒了，他们的神像，负在走兽和牲口身上；他们的重载，重压着筋疲的畜类。
46.2	他们都一齐倾倒了，塌下了，神像不但不能救助驮运他们的畜类，甚至连自己也该流徙远配。
46.3	雅各伯家啊!以色列家所有的遗民啊!请你们听我：自出母胎我就抱着你，自离母腹我就怀着你；
46.4	直到你年老，我仍是一样；直到你白头，我依然扶持你。我既然如此做了，我必要提携你，扶持你，拯救你。
46.5	你们拿我同谁比拟，与谁相等，跟谁比较，以求我们相同呢﹖
46.6	有些人从钱囊中把金子倒出，放银子在天平上衡量；以后雇了一个金匠，制造了一个神像，遂向它屈膝朝拜；
46.7	又将神像抬起，放在肩上扛着，以后安置在一个地方，它就立在那里，再不能离开那地方；人呼求它，它也不答应，也不能救人脱离灾殃。
	
46.8t	上主既许必践
46.8	你们应记住这事，应站稳!叛逆的人啊!你们应记在心头!
46.9	你们应追忆以前古时所发生的事，因为我是天主，没有另一个；我是天主，没有与我相似的，
46.10	我从起初就预言了末后的事，早就宣布了未来的事；我如今说：「我的计划必要成功，我的旨意都要实现；」
46.11	我要把老鹰从东方召来，把履行我计划的人由远方叫来；我说了，必要去行；我决定了，必要去做，
46.12	
46.13	我的正义来近了，已不远了，我的救恩不在延迟；我必在熙用雍与救恩，把我的光荣赐给以色列。
	
	
47.0t	第四十七章(15)
	
47.1t	巴比伦灭亡
47.1	巴比伦处女!下去，坐在尘土中罢!加色丁贞女!让位，坐在地上罢!因为你已不再称为「娇媚」「柔嫩」了。
47.2	揭去面纱，拿磨去磨面罢!卷起长裙，露出大腿去涉河罢!
47.3	你的裸体要暴露，你的羞耻要现出!我要复仇，决不怜惜任何人。
47.4	我们的救主──他的名字是万军的上主──说。
47.5	加色丁处女!静静地坐下：进入黑暗中罢!因为你不再称为「万国之后!」
47.6	我曾向我的人民发怒，污辱了我的产业；我将他们交在你手中，可是你对他们没有表示仁慈，将你的轭重重地压在老者身上。
47.7	你说过：「我永久要作王后!」但你心中从没有考虑过这事，也没有想过这事的结局。
47.8	你这淫逸安居的人，你心里想：「只有我而没有别人!我决不会寡居，也决不会丧子!」如今你听这话：
47.9	这两样在一天内会突然一起降在你身上；虽然你能行许多巫术，能念极威力的符咒，丧子与守寡仍要完全降到你身上。
47.10	你自恃于恶说：「没有人看见我!」那是你的聪明和知识迷惑了你，叫你心中妄想：「只有我而没有别人。」
47.11	灾祸必要临到你身上，你却不能禳灾；患难要降在你身上，但你不能阻止；你从未料到的灭亡，要突然来到你身上。
47.12	请你继续行你自幼即劳碌习行的咒术和那无数的巫术罢!这或许能于你有利，或者能叫人害怕。
47.13	你也许听倦了那许多计谋，现在让那些测天体，观星辰和每月预告你未来之事的人们前来拯救你罢!
47.14	看哪!他们都像枯草，必为火所焚烧；他们连自己也不能由火的威力中救出，因为这不是为取暖的炭火，也不是座前的炉火。
47.15	你那些自幼与之共同劳碌的巫士，为你都是如此；他们各散东西，没有谁来救你。
	
	
48.0t	第四十八章(22)
	
48.1t	唯上主是历史的主宰
48.1	雅各伯家请听这话：──你们以以色列的名字自称，出自犹大之后，奉上主的名字起誓，又称扬「以色列的天主，」但都不是出自诚心诚意；
48.2	虽然你们自称是出自圣城，依赖名为「万军上主」的以色列的天主──
48.3	「那过去的事，我早就预言过了，由我口中所发出的，也叫人听见了；转瞬间我行了那事，那事也就成就了。
48.4	因为我知道你是顽固的，你的颈项似铁杠，你的额是铜制的，
48.5	为此我早就告诉了你，在事未发生之前我就向你说明了，免得你说：「是我的神像行了这事，是我雕刻铸成的神像命定了这事。」
48.6	你既听见了，也看见了这一切，难道你们不该作证吗﹖如今我要宣布新事，即你不知的隐密事。
48.7	这些事是现今而不是从前造成的，是今日之前你从没有听说过的，免得你说：「看，我早就知道了!」
48.8	你从来没有听过，也不知道，也是你的耳朵闻所未闻的。因为我知道你好背信叛逆，你实在可称为「胎生的叛徒。」
48.9	但是为了我名的缘故，我暂缓发怒；为了我荣誉的缘故，我抑制了我自己，而没有消灭你。
48.10	看啊!我只是锻炼了你，有如银子，在患难的炉中磨炼了你。
48.11	为了我自己，为了我自己的缘故，我必要去行。我岂能让我的名字受亵渎﹖我决不将我的光荣让与别人。」
	
48.12t	居鲁士的使命
48.12	雅各伯啊!我所召叫的以色列啊!你听我说：我就是那位，我是元始，我也是终末。
48.13	我的手奠定了大地，我的右手展开了诸天；我一叫它们，它们就一同出现。
48.14	你们都集合起来听罢!邪神中有谁预言了这事呢﹖「我所爱的，必实行我的旨意：攻击巴比伦和加色丁的苗裔。」
48.15	只有我，只有我预言了这事，召叫了他，引导了他，使他所行的道路顺利。
48.16	你们走近我前，听这话罢!我从起初就没有在暗处说过话，从实现之时起，我就在那里。我上主现在即要施行救援。
48.17	你的救主上主，以色列的圣者这样说：「我是上主你的天主，教训你为你有益的事，引你走当走的道路。
48.18	恨不得你一向听从我的命令!那么你的安乐将似江河，你的幸福将似海涛；
48.19	你的子孙多如海沙，出于你身的苗裔多似沙粒；你的名字在我前决不会抹去，也决不会被删除。」
	
48.20t	出离巴比伦
48.20	你们出离巴比伦，逃出加色丁罢!你们要以欢乐的呼声宣告此事，叫人听见，传布到地极说：「上主救赎了他的仆人雅各伯。」
48.21	当上主率领他们过旷野时，他们并不觉渴，因为他使水由岩石中流出给他们喝；他分开了岩石，水就涌流出来。
48.22	上主说：恶人决无平安!
	
	
49.0t	第四十九章(26)
	
49.1t	咏「上主仆人」的诗歌
49.1	诸岛屿，请听我!远方的人民，请静听!上主由母腹中就召叫了我，自母胎中就给我起了名字。
49.2	他使我的口好似利剑，将我掩护在他的手荫下，使我像一支磨光的箭，将我隐藏在他的箭囊中。
49.3	他对我说：你是我的仆人，是我骄矜的「以色列。」
49.4	但是我说：「我白白勤劳了，我枉费了气力而毫无益处；但是我的权利是在上主那里，我的报酬在我的天主面前。」
49.5	我在上主眼中是光荣的，天主是我的力量。那由母胎形成我作他的仆人，将雅各伯领回到他前，并把以色列聚在他前的上主，如今说：
49.6	「你作我的仆人，复兴雅各伯支派，领回以色列遗留下的人，还是小事，我更要使你作万民的光明，使我的救恩达于地极。」
49.7	上主，以色列的救主和圣者，向那极受轻慢，为列国所憎恶，且作统治者奴役的人这样说：「列王必要见而起立，诸侯必要见而下拜：这是因为上主忠实可靠，以色列的圣者拣选了你的缘故。」
49.8	上主这样说：在悦纳的时候，我俯允了你；在救恩的日期，我帮助了你；我必保护你，使你作为人民的盟约，复兴国家，分得荒芜的产业，
49.9	好向俘虏说：「你们出来罢!」向在黑暗中的人说：「你们出现罢!」
	
49.10t	俘虏归国
49.10	他们将在各路上被牧放，他们的牧场是在一切荒岭上。他们不饿也不渴，热风和列日也不损伤他们，因为那怜悯他们的率领着他们，引领他们到水泉傍。
49.11	我要使我的一切山岭变为大路，并把我的街道修高。
49.12	看啊!有的由远方而来，有的由北方和西方而来，还有些由息宁而来。
49.13	诸天要欢乐，大地要踊跃，山岭要欢呼高唱，因为上主安慰了他的百姓，怜恤了他受苦的人们。
	
49.14t	熙雍必将重建
49.14	熙雍曾说过：「上主离弃了我，吾主忘掉了我。」
49.15	妇女岂能忘掉自己的乳婴﹖初为人母的，岂能忘掉亲生的儿子﹖纵然她们能忘掉，我也不能忘掉你啊﹖
49.16	看哪!我已把你刻在我的手掌上，你的城墙时常在我的眼前。
49.17	建筑你的工人急速动工，那毁灭你和破坏你的，要离你远去。
49.18	你举目四望罢!他们都已集合到你这里来；我永远生活──上主的断语──他们必如装饰品穿戴在你身上，把你装扮得有如新娘。
49.19	至于你的废址，你那荒芜和遭蹂躏之地，如今为你的居民都太狭小了，因为吞噬你的人已远离他去。
49.20	连你在不孕期中所生的子女也要说给你听：「这地方为我太狭小了，请给我一个住处罢!」
49.21	那时你心里会问：「谁给我生育了这些人呢﹖我原是不妊不孕的，【且是流放被逐的，】这些人是谁给我养大的﹖看!我本是孤苦零丁的，他们却是从那里来的﹖」
	
49.22t	形势全变
49.22	吾主上主这样说：「看!我要向列邦高举我的手，向万民树起我的旗帜；他们必要把你的儿子抱在怀中带来，把你的女儿放在肩上背来。
49.23	列王要作你的养父，皇后要当你的保姆。他们要在你面前俯伏在地，并要舔去你脚上的尘土；那时你将知道：我是上主；凡仰赖我的，决不会蒙羞。」
49.24	猎物岂能由勇士手中夺回﹖俘虏岂能由强者手中救出﹖
49.25	但是，上主这样说：「俘虏必要由勇士手中夺回，猎物必要由强者手中救出。我必与同你争夺的人争夺，我必拯救你的子孙。
49.26	我要使压迫你的人吃自己的肉，喝自己的血如喝新酒。如此，凡有血肉的人都知道我是上主，是你的拯救者，是你的救主，是雅各伯的大能者。」
	
	
50.0t	第五十章(11)
	
50.1t	以色列并非被休
50.1	上主这样说：「我离弃你们母亲的离婚书在那里呢﹖或者我把你们卖给了我的那一位债主呢﹖看!因了你们的恶行，你们才被出卖，因了你们的过犯，你们的母亲才被离弃。
